"district","hour","age1","age2","age3","age4"
"001","4am",2466,1646.08,3046.97,2041.03
"001","5am",2466,1646.08,3046.97,2041.03
"001","6am",2466,1646.08,3046.97,2041.03
"001","7am",2396.55,1425.24,3188.29,2041.03
"001","8am",2452.22,1525.38,3222.45,1996.96
"001","9am",2716.63,1617.14,4895.84,1929.29
"001","10am",2566.79,1959.89,5147.86,2037.22
"001","11am",2759.78,2050.54,4892.33,2406.16
"001","12am",2522.51,1902.27,4725.91,1874.43
"001","1pm",2612.08,2103.14,4628.96,1806.05
"001","2pm",2793.46,1645.75,4562.92,2240.08
"001","3pm",2832.11,1780.88,4405.83,2672.31
"001","4pm",3178.12,2041.31,4237.34,2891.52
"001","5pm",2774.66,1709.02,4040.14,2148.88
"001","6pm",1923.85,1616.68,3769.15,2475.21
"001","7pm",2322.51,1922.1,3608.62,2154.75
"001","8pm",2545.7,2405.34,3012.43,2232.84
"001","9pm",3541.84,2448.82,2861.78,2171.03
"001","10pm",3811.88,2058.14,3050.65,2085.1
"001","11pm",3877.34,2110.39,3070.23,2059.72
"001","12pm",3531.95,1972.03,3023.22,2103.79
"001","1am",3064.41,1791.5,3110.27,2147.85
"001","2am",2867.74,1791.5,3110.27,2147.85
"001","3am",2832.67,1715.53,3110.27,2147.85
"002","4am",6037.16,3197.36,3346.83,3704.37
"002","5am",6037.16,3197.36,3346.83,3704.37
"002","6am",6037.16,3303.77,3503.49,3704.37
"002","7am",6089.85,3131.91,3815.46,3704.37
"002","8am",11778.96,3127.3,5668.85,3371.84
"002","9am",13248.72,4751.36,9202.77,3433.61
"002","10am",15766.28,4836.71,11619.98,4392.52
"002","11am",16336.54,5790.43,12912.19,5417.87
"002","12am",15624.08,6371.43,12445.85,5302.89
"002","1pm",15073.74,5994.64,14254.06,5317.46
"002","2pm",17385.03,6309.7,12490.89,5062.26
"002","3pm",17277.6,6491.19,11760.15,5935.51
"002","4pm",16677.95,5302.86,12095.02,5035.38
"002","5pm",15537.12,5065.73,11039.69,4348.01
"002","6pm",13010.05,5772.55,8739.33,4083.89
"002","7pm",9418.74,5116.88,7162.28,4788.61
"002","8pm",9436.67,4622.29,6117.32,4522.28
"002","9pm",8531.22,5055.94,5228.91,4473.17
"002","10pm",8627.33,5058.75,5133.63,4617.62
"002","11pm",8491.1,4517.17,4400.13,4256.18
"002","12pm",7306.3,3720.45,3838.43,4165.84
"002","1am",6783.33,3546.55,4050.74,4165.84
"002","2am",6160.18,3256.63,4013.08,4089.87
"002","3am",6229.3,3340.06,3950.36,4089.87
"003","4am",8284.25,3663.76,5635.2,2618.9
"003","5am",8284.25,3663.76,5635.2,2618.9
"003","6am",8284.25,3663.76,5635.2,2618.9
"003","7am",8255.99,3644.65,5756.81,2618.9
"003","8am",6667.85,3523.97,6279.85,2841.09
"003","9am",5515.25,2959.9,9744.99,2926.2
"003","10am",4791.21,3474.44,9810.21,3056.32
"003","11am",5255.37,3877.08,9547.53,2737.86
"003","12am",5388.37,3323.18,9780.67,2745.14
"003","1pm",5873.92,3598.26,9090.98,2790.38
"003","2pm",5292.97,3592.68,9188.21,2495.99
"003","3pm",5030.67,3742.56,9452.82,2736.21
"003","4pm",5089.5,3525.43,9434.7,2721.35
"003","5pm",5503.98,3507.43,8435.31,2607.14
"003","6pm",6120.02,3696.72,5981.78,2537.07
"003","7pm",7786.97,3387.94,5956.25,2732.53
"003","8pm",7492.55,3344.72,5774.06,2803.18
"003","9pm",8052.9,3463.74,6132.87,2704.01
"003","10pm",8178.36,3867.72,5929.22,2618.9
"003","11pm",7879.18,3707.89,5826.55,2618.9
"003","12pm",7892.14,3892.67,5717.02,2618.9
"003","1am",8338.15,3816.03,5716.02,2618.9
"003","2am",8411.03,3784.04,5716.02,2618.9
"003","3am",8336.6,3784.04,5716.02,2618.9
"004","4am",4512.7,2845.42,3825.8,2349.89
"004","5am",4512.7,3030.91,3868,2349.89
"004","6am",4512.7,3030.91,3815.51,2349.89
"004","7am",4591.71,3048.1,3756.51,2465.76
"004","8am",3987.24,2986.95,4511.27,2465.76
"004","9am",4097.84,3987.83,6155.23,2798.29
"004","10am",3989.49,3801.48,7584.5,2862.23
"004","11am",4251.27,3686.61,7330.69,3347.85
"004","12am",4240.55,3579.79,7165.3,2795.62
"004","1pm",3880.13,4187.27,7287.03,2334.25
"004","2pm",3397.43,4009.22,7123.83,2909.72
"004","3pm",3321.69,3958.7,7508.34,3377.75
"004","4pm",3317.17,4094.25,7354.61,3907.33
"004","5pm",3142.64,4160.78,6088.3,3009.52
"004","6pm",3663.56,3384.31,5635.77,3033.6
"004","7pm",4502.31,3449.46,5683.26,2486.56
"004","8pm",5538.29,4327.6,4829.74,2639.63
"004","9pm",5802.92,4071.98,4887.36,2476.96
"004","10pm",5596.72,4545.26,4621.7,2325.44
"004","11pm",5339.42,4265.25,4712.85,2398.74
"004","12pm",5056.2,3667.46,4299.65,2359.58
"004","1am",4985.27,3691.33,4224.59,2359.58
"004","2am",4987.58,3652.4,3950.23,2435.55
"004","3am",4615.72,3209.52,3843.82,2435.55
"005","4am",4080.41,3617.85,4701.57,3644.92
"005","5am",4080.41,3524.83,4701.57,3644.92
"005","6am",4080.41,3431.81,4608.55,3644.92
"005","7am",3801.35,3544.05,4671.14,3644.92
"005","8am",3133.98,2460.78,5077.15,3464.7
"005","9am",2832.04,2078.64,4873.23,3443.49
"005","10am",2650.8,2018.31,5287.83,3270.39
"005","11am",2615.47,1882.18,4864.04,3324.97
"005","12am",2628.33,2211.08,4661.67,3343.72
"005","1pm",3317.17,2463.81,4442.58,3314.04
"005","2pm",2480.78,2213.69,4369.9,3224.75
"005","3pm",2387.7,2121.77,4401.28,2601.88
"005","4pm",2796.32,1784.22,4436.71,2936.07
"005","5pm",2808.87,2220.89,4706.58,3651.55
"005","6pm",2947.85,2643.71,4771.82,3368.34
"005","7pm",3703.42,2859.31,4194.34,3431.05
"005","8pm",3897.57,3094.23,4402.53,3376.61
"005","9pm",3967.67,3179.85,4964.6,3640.28
"005","10pm",3919.56,3128.92,5056.2,3727.48
"005","11pm",4296.82,3049.2,4933.81,3825.13
"005","12pm",4173.86,3238.82,4755.06,3918.15
"005","1am",4275.15,3463.11,4755.06,3918.15
"005","2am",4103.68,3463.11,4828.36,3918.15
"005","3am",4137.92,3556.13,4828.36,3918.15
"006","4am",2998.43,4863.7,5748.59,1533.66
"006","5am",2998.43,4943.62,5980.25,1533.66
